original_audio,genre,track_id,title,artist,genre_top,license,duration,subset,candidate_count,license_allowed,license_fallback,genre_match
"10,000 People Chanting, ""I'm an Individual"" - Nihilore",Electronic,140932,"10,000 People Chanting, ""I'm an Individual""",Nihilore,Electronic,Creative Commons Attribution,372,medium,1,True,False,True
1984 - Punk Rock Opera,Rock,149410,1984,Punk Rock Opera,Rock,Attribution,200,medium,2,True,False,True
2 (Wasn't There) - Isle of Pine,Rock,66449,2 (Wasn't There),Isle of Pine,Rock,Attribution-NoDerivs 2.5 Canada,108,medium,1,True,False,True
2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,Electronic,114244,2Much (Andy Spinelli & Alex Sánchez House Edit),Tentacles,Electronic,Attribution,486,medium,1,True,False,True
3 am West End - statusq,Electronic,112378,3 am West End,statusq,Electronic,Attribution,291,medium,1,True,False,True
5 (Lexington) - Isle of Pine,Rock,66445,5 (Lexington),Isle of Pine,Rock,Attribution-NoDerivs 2.5 Canada,157,large,1,True,False,True
"50,000 Volts of Democracy mp3 - Legally Blind",Rock,130401,"50,000 Volts of Democracy mp3",Legally Blind,Rock,Attribution,270,medium,1,True,False,True
"6 (Coat of Arms, Close) - Isle of Pine",Rock,66446,"6 (Coat of Arms, Close)",Isle of Pine,Rock,Attribution-NoDerivs 2.5 Canada,204,large,1,True,False,True
A Dark Blue Arc - Pipe Choir,Rock,129963,A Dark Blue Arc,Pipe Choir,Rock,Attribution,327,medium,1,True,False,True
A Different World By Night - Nihilore,Electronic,140926,A Different World By Night,Nihilore,Electronic,Creative Commons Attribution,296,small,1,True,False,True
A Lady In Red With A Plan To Steal - Did You Just Hex Me?,Rock,74910,A Lady In Red With A Plan To Steal,Did You Just Hex Me?,Rock,Creative Commons Attribution,134,medium,1,True,False,True
Acoustic Unleashed - Remain,Electronic,141875,Acoustic Unleashed,Remain,Electronic,Attribution,216,small,1,True,False,True
Ad Astra - P C III,Electronic,111819,Ad Astra,P C III,Electronic,Attribution,113,small,1,True,False,True
Agora - Malaventura,Pop,113019,Agora,Malaventura,Pop,Public Domain Mark 1.0,250,small,1,True,False,True
All of Us - Eric Skiff,Electronic,47071,All of Us,Eric Skiff,Electronic,Creative Commons Attribution,177,small,1,True,False,True
Ancient Whispers I - P C III,Electronic,111821,Ancient Whispers I,P C III,Electronic,Attribution,490,medium,1,True,False,True
And Over The Rainbows - milky-chu,Electronic,144723,And Over The Rainbows,milky-chu,Electronic,Attribution,233,medium,1,True,False,True
Apparitions Under Glass - Sarin,Rock,113526,Apparitions Under Glass,Sarin,Rock,Attribution-NoDerivatives 4.0 International,216,medium,1,False,True,True
"Aquamarine, My Distant Blue - Nihilore",Electronic,134150,"Aquamarine, My Distant Blue",Nihilore,Electronic,Creative Commons Attribution,141,large,2,True,False,True
Artificial anxiety - Michett,Electronic,130129,Artificial anxiety,Michett,Electronic,Attribution,288,small,1,True,False,True
As Nihilism Gives Way To Existentialism - Nihilore,Electronic,134148,As Nihilism Gives Way To Existentialism,Nihilore,Electronic,Creative Commons Attribution,335,large,2,True,False,True
Attention - Pete Prodoehl,Rock,118048,Attention,Pete Prodoehl,Rock,Attribution,112,medium,1,True,False,True
Authenticity - Nihilore,Electronic,140924,Authenticity,Nihilore,Electronic,Creative Commons Attribution,294,small,1,True,False,True
Autobahn - S-B-J,Electronic,137049,Autobahn,S-B-J,Electronic,Attribution,238,medium,1,True,False,True
"Autopsy - Oh Yeah, the Future",Pop,127294,Autopsy,"Oh Yeah, the Future",Pop,Attribution,219,small,1,True,False,True
Bergwald Bergwald - Every Now and Every Then,Rock,138061,Bergwald Bergwald,Every Now and Every Then,Rock,Attribution,216,small,1,True,False,True
Better Run Away From Me - Miss Derringer,Rock,3956,Better Run Away From Me,Miss Derringer,Rock,Attribution,158,medium,1,True,False,True
Beyond Luxury - Mors Ontologica,Rock,4003,Beyond Luxury,Mors Ontologica,Rock,Attribution,184,large,1,True,False,True
Bizzy - The Tleilaxu Music Machine,Electronic,1881,Bizzy,The Tleilaxu Music Machine,Electronic,Attribution,253,large,1,True,False,True
Black Panda - The Crypts!,Rock,131153,Black Panda,The Crypts!,Rock,Attribution,144,medium,1,True,False,True
Breathe New Life - Scott Holmes,Rock,114396,Breathe New Life,Scott Holmes,Rock,Attribution,111,small,1,True,False,True
Breeze Funk - Malaventura,Pop,113025,Breeze Funk,Malaventura,Pop,Public Domain Mark 1.0,222,small,1,True,False,True
Burn - Room For A Ghost,Rock,61491,Burn,Room For A Ghost,Rock,Creative Commons Attribution,197,small,1,True,False,True
Busby Berkeley - Ergo Phizmiz,Pop,22472,Busby Berkeley,Ergo Phizmiz,Pop,Attribution 3.0 United States,201,small,1,True,False,True
Cassie Lace - The Zombie Dandies,Rock,147384,Cassie Lace,The Zombie Dandies,Rock,Attribution,158,large,1,True,False,True
Celia - Ergo Phizmiz,Pop,22480,Celia,Ergo Phizmiz,Pop,Attribution 3.0 United States,238,small,1,True,False,True
Chipho instrumental - RoccoW,Electronic,74900,Chipho instrumental,RoccoW,Electronic,Attribution,110,large,1,True,False,True
Clay Heart - Nihilore,Electronic,145816,Clay Heart,Nihilore,Electronic,Creative Commons Attribution,137,medium,1,True,False,True
Cloudy - Subway Sonicbeat,Electronic,71506,Cloudy,Subway Sonicbeat,Electronic,Creative Commons Attribution,137,small,1,True,False,True
