track_id,original_audio,genre,zip_member,local_path,file_size,compressed_size,elapsed_sec,ok,status
140932,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",Electronic,fma_large/140/140932.mp3,data/raw/FMA/selected_30s/140/140932.mp3,1200775,1198491,,True,already_exists
149410,1984 - Punk Rock Opera,Rock,fma_large/149/149410.mp3,data/raw/FMA/selected_30s/149/149410.mp3,1203312,1201796,,True,already_exists
66449,2 (Wasn't There) - Isle of Pine,Rock,fma_large/066/066449.mp3,data/raw/FMA/selected_30s/066/066449.mp3,984398,951919,,True,already_exists
114244,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,Electronic,fma_large/114/114244.mp3,data/raw/FMA/selected_30s/114/114244.mp3,1201308,1200079,,True,already_exists
112378,3 am West End - statusq,Electronic,fma_large/112/112378.mp3,data/raw/FMA/selected_30s/112/112378.mp3,600853,594938,,True,already_exists
66445,5 (Lexington) - Isle of Pine,Rock,fma_large/066/066445.mp3,data/raw/FMA/selected_30s/066/066445.mp3,993907,955566,3.17,True,downloaded
130401,"50,000 Volts of Democracy mp3 - Legally Blind",Rock,fma_large/130/130401.mp3,data/raw/FMA/selected_30s/130/130401.mp3,961936,949948,3.41,True,downloaded
66446,"6 (Coat of Arms, Close) - Isle of Pine",Rock,fma_large/066/066446.mp3,data/raw/FMA/selected_30s/066/066446.mp3,1006277,959761,3.03,True,downloaded
129963,A Dark Blue Arc - Pipe Choir,Rock,fma_large/129/129963.mp3,data/raw/FMA/selected_30s/129/129963.mp3,720418,711793,3.1,True,downloaded
140926,A Different World By Night - Nihilore,Electronic,fma_large/140/140926.mp3,data/raw/FMA/selected_30s/140/140926.mp3,1201224,1199545,2.99,True,downloaded
74910,A Lady In Red With A Plan To Steal - Did You Just Hex Me?,Rock,fma_large/074/074910.mp3,data/raw/FMA/selected_30s/074/074910.mp3,1202421,1195702,2.85,True,downloaded
141875,Acoustic Unleashed - Remain,Electronic,fma_large/141/141875.mp3,data/raw/FMA/selected_30s/141/141875.mp3,1201111,1199769,3.5,True,downloaded
111819,Ad Astra - P C III,Electronic,fma_large/111/111819.mp3,data/raw/FMA/selected_30s/111/111819.mp3,1201126,1084649,3.04,True,downloaded
113019,Agora - Malaventura,Pop,fma_large/113/113019.mp3,data/raw/FMA/selected_30s/113/113019.mp3,705428,701040,2.88,True,downloaded
