original_audio,genre,total_samples,real_count,fake_count,split
2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,Electronic,6,1,5,test
3 am West End - statusq,Electronic,6,1,5,test
5 (Lexington) - Isle of Pine,Rock,7,1,6,test
Attention - Pete Prodoehl,Rock,17,1,16,test
Bizzy - The Tleilaxu Music Machine,Electronic,6,1,5,test
Dance Harder - Three Chain Links,Electronic,17,1,16,test
Different Day - First,Pop,16,1,15,test
El Burrito - Malaventura,Pop,7,1,6,test
End titles - Itsensäsyöjät,Electronic,6,1,5,test
Fuckaboing - RoccoW,Electronic,17,1,16,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",Rock,17,1,16,test
"Hungry - Oh Yeah, the Future",Pop,16,1,15,test
I - Inflammator,Rock,16,1,15,test
L'arbre - Salmo,Rock,6,1,5,test
LIQUID SKULLS - voyageurs,Rock,17,1,16,test
Leaving Here - Mod Fun,Rock,6,1,5,test
Let You're Body Move - D SMILEZ,Electronic,6,1,5,test
Let's Start Out Slow - RoccoW,Electronic,6,1,5,test
Love Dream - The Zombie Dandies,Rock,17,1,16,test
Moja Krypta - AmortE,Rock,6,1,5,test
Motocross Mania - Monroeville Music Center,Pop,17,1,16,test
Music For an Underground Circu - Ergo Phizmiz,Pop,18,1,17,test
Night Owl - Broke For Free,Electronic,17,1,16,test
Pista Afuera - Epstein,Electronic,17,1,16,test
Production - Bird Names,Pop,7,1,6,test
Puertas de Fuego - Guerra de Cerdos,Rock,7,1,6,test
Realize Me - Jim Rooster,Electronic,17,1,16,test
Resistentialism - Nihilore,Electronic,17,1,16,test
Set Fire to Creation - Nihilore,Electronic,6,1,5,test
Sfogare Il Dissenso - Deiezione HC,Rock,17,1,16,test
She Works / Tepid Waters - Bird Names,Pop,18,1,17,test
Something Dirty - Ergo Phizmiz,Pop,17,1,16,test
Sonzis FM - Pipe Choir,Rock,7,1,6,test
Stuttgart - Portrayal,Rock,17,1,16,test
Support Me in This Moment That I'm About To Lose Heart - Nihilore,Electronic,6,1,5,test
Terve Teille - Чокнутый Пропеллер,Rock,16,1,15,test
The Adventures Of Roderick Random - Maps And Diagrams,Electronic,6,1,5,test
"The Pursuit of Unintentional Humor - Oh Yeah, the Future",Pop,7,1,6,test
The Secret Garden - Barbarix,Electronic,6,1,5,test
Troubles I've seen - Malaventura,Pop,18,1,17,test
Ugh! Humans Can Join - Mystery Mammal,Electronic,17,1,16,test
Untitled - Fatal Injection,Rock,7,1,6,test
Where Is Everything - The Moi Non Plus,Rock,16,1,15,test
Who Loves You Dear - Mink Lungs,Rock,17,1,16,test
Yurtology - Michett,Electronic,6,1,5,test
"10,000 People Chanting, ""I'm an Individual"" - Nihilore",Electronic,6,1,5,train
1984 - Punk Rock Opera,Rock,14,1,13,train
"50,000 Volts of Democracy mp3 - Legally Blind",Rock,7,1,6,train
"6 (Coat of Arms, Close) - Isle of Pine",Rock,7,1,6,train
