segment_id,track_sample_id,original_audio,label,label_id,genre,generator,split,cache_index
seg_000000,sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,Electronic,,train,0
seg_000001,sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,Electronic,,train,1
seg_000002,sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,Electronic,,train,2
seg_000003,sample_00001,1984 - Punk Rock Opera,REAL,0,Rock,,train,3
seg_000004,sample_00001,1984 - Punk Rock Opera,REAL,0,Rock,,train,4
seg_000005,sample_00001,1984 - Punk Rock Opera,REAL,0,Rock,,train,5
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,Rock,,val,6
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,Rock,,val,7
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,Rock,,val,8
seg_000009,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,REAL,0,Electronic,,test,9
seg_000010,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,REAL,0,Electronic,,test,10
seg_000011,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,REAL,0,Electronic,,test,11
seg_000012,sample_00004,3 am West End - statusq,REAL,0,Electronic,,test,12
seg_000013,sample_00004,3 am West End - statusq,REAL,0,Electronic,,test,13
seg_000014,sample_00004,3 am West End - statusq,REAL,0,Electronic,,test,14
seg_000015,sample_00005,5 (Lexington) - Isle of Pine,REAL,0,Rock,,test,15
seg_000016,sample_00005,5 (Lexington) - Isle of Pine,REAL,0,Rock,,test,16
seg_000017,sample_00005,5 (Lexington) - Isle of Pine,REAL,0,Rock,,test,17
seg_000018,sample_00006,"50,000 Volts of Democracy mp3 - Legally Blind",REAL,0,Rock,,train,18
seg_000019,sample_00006,"50,000 Volts of Democracy mp3 - Legally Blind",REAL,0,Rock,,train,19
seg_000020,sample_00006,"50,000 Volts of Democracy mp3 - Legally Blind",REAL,0,Rock,,train,20
seg_000021,sample_00007,"6 (Coat of Arms, Close) - Isle of Pine",REAL,0,Rock,,train,21
seg_000022,sample_00007,"6 (Coat of Arms, Close) - Isle of Pine",REAL,0,Rock,,train,22
seg_000023,sample_00007,"6 (Coat of Arms, Close) - Isle of Pine",REAL,0,Rock,,train,23
seg_000024,sample_00008,A Dark Blue Arc - Pipe Choir,REAL,0,Rock,,train,24
seg_000025,sample_00008,A Dark Blue Arc - Pipe Choir,REAL,0,Rock,,train,25
seg_000026,sample_00008,A Dark Blue Arc - Pipe Choir,REAL,0,Rock,,train,26
seg_000027,sample_00009,A Different World By Night - Nihilore,REAL,0,Electronic,,train,27
seg_000028,sample_00009,A Different World By Night - Nihilore,REAL,0,Electronic,,train,28
seg_000029,sample_00009,A Different World By Night - Nihilore,REAL,0,Electronic,,train,29
seg_000030,sample_00010,A Lady In Red With A Plan To Steal - Did You Just Hex Me?,REAL,0,Rock,,train,30
seg_000031,sample_00010,A Lady In Red With A Plan To Steal - Did You Just Hex Me?,REAL,0,Rock,,train,31
seg_000032,sample_00010,A Lady In Red With A Plan To Steal - Did You Just Hex Me?,REAL,0,Rock,,train,32
seg_000033,sample_00011,Acoustic Unleashed - Remain,REAL,0,Electronic,,train,33
seg_000034,sample_00011,Acoustic Unleashed - Remain,REAL,0,Electronic,,train,34
seg_000035,sample_00011,Acoustic Unleashed - Remain,REAL,0,Electronic,,train,35
seg_000036,sample_00012,Ad Astra - P C III,REAL,0,Electronic,,train,36
seg_000037,sample_00012,Ad Astra - P C III,REAL,0,Electronic,,train,37
seg_000038,sample_00012,Ad Astra - P C III,REAL,0,Electronic,,train,38
seg_000039,sample_00013,Agora - Malaventura,REAL,0,Pop,,val,39
seg_000040,sample_00013,Agora - Malaventura,REAL,0,Pop,,val,40
seg_000041,sample_00013,Agora - Malaventura,REAL,0,Pop,,val,41
seg_000042,sample_00014,All of Us - Eric Skiff,REAL,0,Electronic,,train,42
seg_000043,sample_00014,All of Us - Eric Skiff,REAL,0,Electronic,,train,43
seg_000044,sample_00014,All of Us - Eric Skiff,REAL,0,Electronic,,train,44
seg_000045,sample_00015,Ancient Whispers I - P C III,REAL,0,Electronic,,train,45
seg_000046,sample_00015,Ancient Whispers I - P C III,REAL,0,Electronic,,train,46
seg_000047,sample_00015,Ancient Whispers I - P C III,REAL,0,Electronic,,train,47
seg_000048,sample_00016,And Over The Rainbows - milky-chu,REAL,0,Electronic,,train,48
seg_000049,sample_00016,And Over The Rainbows - milky-chu,REAL,0,Electronic,,train,49
seg_000050,sample_00016,And Over The Rainbows - milky-chu,REAL,0,Electronic,,train,50
seg_000051,sample_00017,Apparitions Under Glass - Sarin,REAL,0,Rock,,train,51
seg_000052,sample_00017,Apparitions Under Glass - Sarin,REAL,0,Rock,,train,52
seg_000053,sample_00017,Apparitions Under Glass - Sarin,REAL,0,Rock,,train,53
seg_000054,sample_00018,"Aquamarine, My Distant Blue - Nihilore",REAL,0,Electronic,,train,54
seg_000055,sample_00018,"Aquamarine, My Distant Blue - Nihilore",REAL,0,Electronic,,train,55
seg_000056,sample_00018,"Aquamarine, My Distant Blue - Nihilore",REAL,0,Electronic,,train,56
seg_000057,sample_00019,Artificial anxiety - Michett,REAL,0,Electronic,,train,57
seg_000058,sample_00019,Artificial anxiety - Michett,REAL,0,Electronic,,train,58
seg_000059,sample_00019,Artificial anxiety - Michett,REAL,0,Electronic,,train,59
seg_000060,sample_00020,As Nihilism Gives Way To Existentialism - Nihilore,REAL,0,Electronic,,train,60
seg_000061,sample_00020,As Nihilism Gives Way To Existentialism - Nihilore,REAL,0,Electronic,,train,61
seg_000062,sample_00020,As Nihilism Gives Way To Existentialism - Nihilore,REAL,0,Electronic,,train,62
seg_000063,sample_00021,Attention - Pete Prodoehl,REAL,0,Rock,,test,63
seg_000064,sample_00021,Attention - Pete Prodoehl,REAL,0,Rock,,test,64
seg_000065,sample_00021,Attention - Pete Prodoehl,REAL,0,Rock,,test,65
seg_000066,sample_00022,Authenticity - Nihilore,REAL,0,Electronic,,train,66
seg_000067,sample_00022,Authenticity - Nihilore,REAL,0,Electronic,,train,67
seg_000068,sample_00022,Authenticity - Nihilore,REAL,0,Electronic,,train,68
seg_000069,sample_00023,Autobahn - S-B-J,REAL,0,Electronic,,train,69
