generator,precision,recall,f1-score,support
acestep,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
audioldm,0.9,0.9473684210526315,0.9230769230769231,19.0
brev,0.4444444444444444,0.21052631578947367,0.2857142857142857,19.0
diffrhythm,0.9,0.9473684210526315,0.9230769230769231,19.0
elevenlabs,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
mubert,0.7777777777777778,0.7368421052631579,0.7567567567567568,19.0
musicgen,1.0,1.0,1.0,19.0
producer,0.56,0.7368421052631579,0.6363636363636364,19.0
songgen,0.9,0.9473684210526315,0.9230769230769231,19.0
stableaudio,0.875,0.7368421052631579,0.8,19.0
suno,0.52,0.6842105263157895,0.5909090909090909,19.0
udio,0.5333333333333333,0.42105263157894735,0.47058823529411764,19.0
