original_audio,generator,track_sample_id,genre,split
1984 - Punk Rock Opera,acestep,sample_00297,Rock,train
1984 - Punk Rock Opera,audioldm,sample_00793,Rock,train
1984 - Punk Rock Opera,brev,sample_01081,Rock,train
1984 - Punk Rock Opera,diffrhythm,sample_01370,Rock,train
1984 - Punk Rock Opera,elevenlabs,sample_02865,Rock,train
1984 - Punk Rock Opera,mubert,sample_01600,Rock,train
1984 - Punk Rock Opera,musicgen,sample_03166,Rock,train
1984 - Punk Rock Opera,producer,sample_01729,Rock,train
1984 - Punk Rock Opera,songgen,sample_01962,Rock,train
1984 - Punk Rock Opera,stableaudio,sample_02779,Rock,train
1984 - Punk Rock Opera,suno,sample_02272,Rock,train
1984 - Punk Rock Opera,udio,sample_02572,Rock,train
2 (Wasn't There) - Isle of Pine,acestep,sample_00299,Rock,val
2 (Wasn't There) - Isle of Pine,audioldm,sample_00812,Rock,val
2 (Wasn't There) - Isle of Pine,brev,sample_01082,Rock,val
2 (Wasn't There) - Isle of Pine,diffrhythm,sample_01372,Rock,val
2 (Wasn't There) - Isle of Pine,elevenlabs,sample_02867,Rock,val
2 (Wasn't There) - Isle of Pine,mubert,sample_01620,Rock,val
2 (Wasn't There) - Isle of Pine,musicgen,sample_03168,Rock,val
2 (Wasn't There) - Isle of Pine,producer,sample_01730,Rock,val
2 (Wasn't There) - Isle of Pine,songgen,sample_01964,Rock,val
2 (Wasn't There) - Isle of Pine,stableaudio,sample_02780,Rock,val
2 (Wasn't There) - Isle of Pine,suno,sample_02273,Rock,val
2 (Wasn't There) - Isle of Pine,udio,sample_02573,Rock,val
Acoustic Unleashed - Remain,acestep,sample_00304,Electronic,train
Acoustic Unleashed - Remain,audioldm,sample_00604,Electronic,train
Acoustic Unleashed - Remain,brev,sample_00882,Electronic,train
Acoustic Unleashed - Remain,diffrhythm,sample_01183,Electronic,train
Acoustic Unleashed - Remain,elevenlabs,sample_02869,Electronic,train
Acoustic Unleashed - Remain,mubert,sample_01505,Electronic,train
Acoustic Unleashed - Remain,musicgen,sample_03173,Electronic,train
Acoustic Unleashed - Remain,producer,sample_01628,Electronic,train
Acoustic Unleashed - Remain,songgen,sample_01782,Electronic,train
Acoustic Unleashed - Remain,stableaudio,sample_02671,Electronic,train
Acoustic Unleashed - Remain,suno,sample_02071,Electronic,train
Acoustic Unleashed - Remain,udio,sample_02371,Electronic,train
Ad Astra - P C III,acestep,sample_00305,Electronic,train
Ad Astra - P C III,audioldm,sample_00618,Electronic,train
Ad Astra - P C III,brev,sample_00884,Electronic,train
Ad Astra - P C III,diffrhythm,sample_01184,Electronic,train
Ad Astra - P C III,elevenlabs,sample_02871,Electronic,train
Ad Astra - P C III,mubert,sample_01521,Electronic,train
Ad Astra - P C III,musicgen,sample_03174,Electronic,train
Ad Astra - P C III,producer,sample_01629,Electronic,train
Ad Astra - P C III,songgen,sample_01783,Electronic,train
Ad Astra - P C III,stableaudio,sample_02672,Electronic,train
Ad Astra - P C III,suno,sample_02073,Electronic,train
Ad Astra - P C III,udio,sample_02373,Electronic,train
All of Us - Eric Skiff,acestep,sample_00307,Electronic,train
All of Us - Eric Skiff,audioldm,sample_00663,Electronic,train
All of Us - Eric Skiff,brev,sample_00886,Electronic,train
All of Us - Eric Skiff,diffrhythm,sample_01185,Electronic,train
All of Us - Eric Skiff,elevenlabs,sample_02873,Electronic,train
All of Us - Eric Skiff,mubert,sample_01491,Electronic,train
All of Us - Eric Skiff,musicgen,sample_03176,Electronic,train
All of Us - Eric Skiff,producer,sample_01630,Electronic,train
All of Us - Eric Skiff,songgen,sample_01784,Electronic,train
All of Us - Eric Skiff,stableaudio,sample_02673,Electronic,train
All of Us - Eric Skiff,suno,sample_02075,Electronic,train
All of Us - Eric Skiff,udio,sample_02375,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",acestep,sample_00311,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",audioldm,sample_00646,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",brev,sample_00888,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",diffrhythm,sample_01188,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",elevenlabs,sample_02875,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",mubert,sample_01493,Electronic,train
