generator,precision,recall,f1-score,support
acestep,1.0,1.0,1.0,45.0
audioldm,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
brev,0.8461538461538461,0.6875,0.7586206896551724,48.0
diffrhythm,0.9591836734693877,1.0,0.9791666666666666,47.0
elevenlabs,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
mubert,1.0,0.875,0.9333333333333333,24.0
musicgen,1.0,1.0,1.0,45.0
producer,0.92,0.92,0.92,25.0
songgen,1.0,1.0,1.0,45.0
stableaudio,0.8928571428571429,0.9615384615384616,0.9259259259259259,26.0
suno,0.75,0.875,0.8076923076923077,48.0
udio,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
