model,generator,genre,n_tracks,recall
Handcrafted+RBF-SVM,acestep,Electronic,7,0.8571428571428571
Handcrafted+RBF-SVM,acestep,Pop,5,0.8
Handcrafted+RBF-SVM,acestep,Rock,7,0.8571428571428571
Handcrafted+RBF-SVM,audioldm,Electronic,7,0.8571428571428571
Handcrafted+RBF-SVM,audioldm,Pop,5,1.0
Handcrafted+RBF-SVM,audioldm,Rock,7,1.0
Handcrafted+RBF-SVM,brev,Electronic,7,0.2857142857142857
Handcrafted+RBF-SVM,brev,Pop,5,0.0
Handcrafted+RBF-SVM,brev,Rock,7,0.2857142857142857
Handcrafted+RBF-SVM,diffrhythm,Electronic,7,0.8571428571428571
Handcrafted+RBF-SVM,diffrhythm,Pop,5,1.0
Handcrafted+RBF-SVM,diffrhythm,Rock,7,1.0
Handcrafted+RBF-SVM,elevenlabs,Electronic,7,0.8571428571428571
Handcrafted+RBF-SVM,elevenlabs,Pop,5,0.8
Handcrafted+RBF-SVM,elevenlabs,Rock,7,0.8571428571428571
Handcrafted+RBF-SVM,mubert,Electronic,7,0.5714285714285714
Handcrafted+RBF-SVM,mubert,Pop,5,1.0
Handcrafted+RBF-SVM,mubert,Rock,7,0.7142857142857143
Handcrafted+RBF-SVM,musicgen,Electronic,7,1.0
Handcrafted+RBF-SVM,musicgen,Pop,5,1.0
Handcrafted+RBF-SVM,musicgen,Rock,7,1.0
Handcrafted+RBF-SVM,producer,Electronic,7,1.0
Handcrafted+RBF-SVM,producer,Pop,5,0.4
Handcrafted+RBF-SVM,producer,Rock,7,0.7142857142857143
Handcrafted+RBF-SVM,songgen,Electronic,7,0.8571428571428571
Handcrafted+RBF-SVM,songgen,Pop,5,1.0
Handcrafted+RBF-SVM,songgen,Rock,7,1.0
Handcrafted+RBF-SVM,stableaudio,Electronic,7,0.5714285714285714
Handcrafted+RBF-SVM,stableaudio,Pop,5,0.8
Handcrafted+RBF-SVM,stableaudio,Rock,7,0.8571428571428571
Handcrafted+RBF-SVM,suno,Electronic,7,0.5714285714285714
Handcrafted+RBF-SVM,suno,Pop,5,1.0
Handcrafted+RBF-SVM,suno,Rock,7,0.5714285714285714
Handcrafted+RBF-SVM,udio,Electronic,7,0.0
Handcrafted+RBF-SVM,udio,Pop,5,0.8
Handcrafted+RBF-SVM,udio,Rock,7,0.5714285714285714
MERT95M+LR,acestep,Electronic,7,1.0
MERT95M+LR,acestep,Pop,5,1.0
MERT95M+LR,acestep,Rock,7,1.0
MERT95M+LR,audioldm,Electronic,7,1.0
MERT95M+LR,audioldm,Pop,5,1.0
MERT95M+LR,audioldm,Rock,7,1.0
MERT95M+LR,brev,Electronic,7,0.5714285714285714
MERT95M+LR,brev,Pop,5,0.8
MERT95M+LR,brev,Rock,7,0.5714285714285714
MERT95M+LR,diffrhythm,Electronic,7,0.8571428571428571
MERT95M+LR,diffrhythm,Pop,5,1.0
MERT95M+LR,diffrhythm,Rock,7,0.8571428571428571
MERT95M+LR,elevenlabs,Electronic,7,1.0
MERT95M+LR,elevenlabs,Pop,5,1.0
MERT95M+LR,elevenlabs,Rock,7,1.0
MERT95M+LR,mubert,Electronic,7,1.0
MERT95M+LR,mubert,Pop,5,1.0
MERT95M+LR,mubert,Rock,7,0.8571428571428571
MERT95M+LR,musicgen,Electronic,7,1.0
MERT95M+LR,musicgen,Pop,5,1.0
MERT95M+LR,musicgen,Rock,7,1.0
MERT95M+LR,producer,Electronic,7,1.0
MERT95M+LR,producer,Pop,5,1.0
MERT95M+LR,producer,Rock,7,0.8571428571428571
MERT95M+LR,songgen,Electronic,7,1.0
MERT95M+LR,songgen,Pop,5,1.0
MERT95M+LR,songgen,Rock,7,1.0
MERT95M+LR,stableaudio,Electronic,7,1.0
MERT95M+LR,stableaudio,Pop,5,1.0
MERT95M+LR,stableaudio,Rock,7,0.8571428571428571
MERT95M+LR,suno,Electronic,7,0.5714285714285714
MERT95M+LR,suno,Pop,5,0.8
MERT95M+LR,suno,Rock,7,0.5714285714285714
MERT95M+LR,udio,Electronic,7,0.5714285714285714
MERT95M+LR,udio,Pop,5,1.0
MERT95M+LR,udio,Rock,7,0.8571428571428571
