feature,group,anova_f,p_value
mfcc_01_mean,MFCC,64.10538454565494,1.7533016301961462e-107
mfcc_01_std,MFCC,24.264326210983356,1.3198067950971044e-44
mfcc_02_mean,MFCC,45.6867748940736,1.363946348497883e-80
mfcc_02_std,MFCC,37.2767222960807,3.9219674727879876e-67
mfcc_03_mean,MFCC,54.87847175310116,2.009057215621021e-94
mfcc_03_std,MFCC,38.14719088059634,1.453444899341237e-68
mfcc_04_mean,MFCC,78.90502826432856,6.4366805120266755e-127
mfcc_04_std,MFCC,32.45039516428061,4.9679224257457145e-59
mfcc_05_mean,MFCC,60.49687622179207,1.813323432378747e-102
mfcc_05_std,MFCC,51.82183284887245,6.4107274619231385e-90
mfcc_06_mean,MFCC,84.62886467726423,5.448199817809816e-134
mfcc_06_std,MFCC,34.121477700280856,7.211224483422567e-62
mfcc_07_mean,MFCC,14.304884764463685,7.268190331631134e-26
mfcc_07_std,MFCC,28.057276756049706,2.126720591693982e-51
mfcc_08_mean,MFCC,21.29426614034191,3.74904476318539e-39
mfcc_08_std,MFCC,25.397056383281498,1.1798405078356738e-46
mfcc_09_mean,MFCC,35.7077077655769,1.5709164751151562e-64
mfcc_09_std,MFCC,19.876597998970166,1.653867014225106e-36
mfcc_10_mean,MFCC,43.537552637696976,3.146350435098199e-77
mfcc_10_std,MFCC,13.950383877658563,3.556314524274382e-25
mfcc_11_mean,MFCC,110.00130158781992,8.125655539041178e-163
mfcc_11_std,MFCC,20.251274937054763,3.2882902816899094e-37
mfcc_12_mean,MFCC,53.88426219168523,5.7256791947795525e-93
mfcc_12_std,MFCC,13.842058349441531,5.780657357973996e-25
mfcc_13_mean,MFCC,116.57993150941667,1.0615853494892684e-169
mfcc_13_std,MFCC,15.842729389575885,7.692904430897053e-29
mfcc_14_mean,MFCC,19.087699713892093,5.030879246627679e-35
mfcc_14_std,MFCC,15.320553623547386,7.822476228329495e-28
mfcc_15_mean,MFCC,58.16429072453679,3.6512558992685734e-99
mfcc_15_std,MFCC,18.175647130030022,2.6694829542484353e-33
mfcc_16_mean,MFCC,22.19690009241723,8.017953520536369e-41
mfcc_16_std,MFCC,15.03610309110714,2.7756471863506975e-27
mfcc_17_mean,MFCC,10.6462487684004,1.0800038147518657e-18
mfcc_17_std,MFCC,9.136951697295263,1.0383321562144108e-15
mfcc_18_mean,MFCC,20.79026960005289,3.243687488345445e-38
mfcc_18_std,MFCC,15.257373394345908,1.0361699593496226e-27
mfcc_19_mean,MFCC,39.497258092745,9.133274535524783e-71
mfcc_19_std,MFCC,15.693492650387485,1.491541888668596e-28
mfcc_20_mean,MFCC,38.56782558242039,2.9791271790744063e-69
mfcc_20_std,MFCC,17.029956989497247,4.056191441619776e-31
mfcc_21_mean,MFCC,22.24668340681511,6.490565936758453e-41
mfcc_21_std,MFCC,14.020159483476691,2.6011671515279753e-25
mfcc_22_mean,MFCC,6.500653981945228,1.6292017525046892e-10
